"District_Name","SubCounty","Parish","Villagecode","Infrastructure_ID","C5CQ18","C5CQ19","C5CQ20","End_infrastructure","Survey_Visit","Infrastructure_Response","Reason_Road_Inf_Not_Done"
101,101204,10120402,1012040204,1,,,,,2,3,"no school at the island"
101,101204,10120402,1012040204,2,,,,,2,3,"no school at the island"
101,101204,10120402,1012040204,3,,,,,2,3,"no school at the island"
101,101204,10120402,1012040204,4,,,,,2,3,"no school at the island"
101,101204,10120402,1012040204,5,,,,,2,3,"no school at the island"
102,102101,10210104,1021010402,1,,,,,2,3,"DIV ENG DOES NOT HAVE THE NEEDED IMFORM .HAS DIRECTED ME KCCA HEAD OFFICE"
102,102101,10210104,1021010402,2,,,,,2,3,"DIV ENG DOES NOT HAVE THE NEEDED IMFORM .HAS DIRECTED ME KCCA HEAD OFFICE"
102,102101,10210104,1021010402,3,,,,,2,3,"DIV ENG DOES NOT HAVE THE NEEDED IMFORM .HAS DIRECTED ME KCCA HEAD OFFICE"
102,102101,10210104,1021010402,4,,,,,2,3,"DIV ENG DOES NOT HAVE THE NEEDED IMFORM .HAS DIRECTED ME KCCA HEAD OFFICE"
102,102101,10210104,1021010402,5,,,,,2,3,"DIV ENG DOES NOT HAVE THE NEEDED IMFORM .HAS DIRECTED ME KCCA HEAD OFFICE"
102,102101,10210108,1021010802,1,,,,,2,3,"DIV ENGINEER NOT IN POSITION TO GIVE DATA"
102,102101,10210108,1021010802,2,,,,,2,3,"DIV ENGINEER NOT IN POSITION TO GIVE DATA"
102,102101,10210108,1021010802,3,,,,,2,3,"DIV ENGINEER NOT IN POSITION TO GIVE DATA"
102,102101,10210108,1021010802,4,,,,,2,3,"DIV ENGINEER NOT IN POSITION TO GIVE DATA"
102,102101,10210108,1021010802,5,,,,,2,3,"DIV ENGINEER NOT IN POSITION TO GIVE DATA"
102,102102,10210202,1021020205,1,,,,,2,,
102,102102,10210202,1021020205,2,,,,,2,,
102,102102,10210202,1021020205,3,,,,,2,,
102,102102,10210202,1021020205,4,,,,,2,,
102,102102,10210202,1021020205,5,,,,,2,,
102,102102,10210205,1021020504,1,,,,,2,3,"Its holiday time and none of the staff members stays around"
102,102102,10210205,1021020504,2,,,,,2,3,"Its holiday time and none of the staff members stays around"
102,102102,10210205,1021020504,3,,,,,2,3,"Its holiday time and none of the staff members stays around"
102,102102,10210205,1021020504,4,,,,,2,3,"Its holiday time and none of the staff members stays around"
102,102102,10210205,1021020504,5,,,,,2,3,"Its holiday time and none of the staff members stays around"
102,102102,10210206,1021020601,1,,,,,2,1,
102,102102,10210206,1021020601,2,,,,,2,1,
102,102102,10210206,1021020601,3,,,,,2,1,
102,102102,10210206,1021020601,4,0,0,,,2,1,
102,102102,10210206,1021020601,5,0,0,,,2,1,
102,102102,10210208,1021020805,1,,,,,2,3,"The engineer has been too busy but promised to avail me with all the necesary information"
102,102102,10210208,1021020805,2,,,,,2,3,"The engineer has been too busy but promised to avail me with all the necesary information"
102,102102,10210208,1021020805,3,,,,,2,3,"The engineer has been too busy but promised to avail me with all the necesary information"
102,102102,10210208,1021020805,4,,,,,2,3,"The engineer has been too busy but promised to avail me with all the necesary information"
102,102102,10210208,1021020805,5,,,,,2,3,"The engineer has been too busy but promised to avail me with all the necesary information"
102,102103,10210301,1021030109,1,,,,,2,3,"data collected by another team in trip 1"
102,102103,10210301,1021030109,2,,,,,2,3,"data collected by another team in trip 1"
102,102103,10210301,1021030109,3,,,,,2,3,"data collected by another team in trip 1"
102,102103,10210301,1021030109,4,,,,,2,3,"data collected by another team in trip 1"
102,102103,10210301,1021030109,5,,,,,2,3,"data collected by another team in trip 1"
102,102103,10210302,1021030203,1,448987000,448987000,1,,2,1,
102,102103,10210302,1021030203,2,,,,,2,1,
102,102103,10210302,1021030203,3,,,,,2,1,
102,102103,10210302,1021030203,4,108798751,108798751,1,,2,1,
102,102103,10210302,1021030203,5,217000000,217000000,1,,2,1,
102,102103,10210304,1021030412,1,448987000,448987000,1,,2,3,"weekend"
102,102103,10210304,1021030412,2,,,,,2,3,"weekend"
102,102103,10210304,1021030412,3,,,,,2,3,"weekend"
102,102103,10210304,1021030412,4,108798751,108798751,1,,2,3,"weekend"
102,102103,10210304,1021030412,5,217000000,217000000,1,,2,3,"weekend"
102,102103,10210305,1021030504,1,448987600,448987600,1,,1,1,
102,102103,10210305,1021030504,2,108798751,108798751,1,,1,1,
102,102103,10210305,1021030504,3,,,,,1,1,
102,102103,10210305,1021030504,4,,,,,1,1,
102,102103,10210305,1021030504,5,217000000,217000000,1,,1,1,
102,102103,10210305,1021030509,1,,,,,2,,
102,102103,10210305,1021030509,2,,,,,2,,
102,102103,10210305,1021030509,3,,,,,2,,
102,102103,10210305,1021030509,4,,,,,2,,
102,102103,10210305,1021030509,5,,,,,2,,
102,102103,10210306,1021030606,1,448987600,448987600,1,,2,1,
102,102103,10210306,1021030606,2,,,,,2,1,
102,102103,10210306,1021030606,3,,,,,2,1,
102,102103,10210306,1021030606,4,108798751,108798751,1,,2,1,
102,102103,10210306,1021030606,5,217000000,217000000,1,,2,1,
102,102103,10210308,1021030803,1,,,,,2,,
102,102103,10210308,1021030803,2,,,,,2,,
102,102103,10210308,1021030803,3,,,,,2,,
102,102103,10210308,1021030803,4,,,,,2,,
102,102103,10210308,1021030803,5,,,,,2,,
102,102103,10210309,1021030904,1,448987600,448987600,1,,2,1,
102,102103,10210309,1021030904,1,448987600,448987600,1,,1,1,
102,102103,10210309,1021030904,2,108798751,108798751,1,,2,1,
102,102103,10210309,1021030904,2,108798751,108798751,1,,1,1,
102,102103,10210309,1021030904,3,,,,,1,1,
102,102103,10210309,1021030904,3,,,,,2,1,
102,102103,10210309,1021030904,4,,,,,1,1,
102,102103,10210309,1021030904,4,,,,,2,1,
102,102103,10210309,1021030904,5,217000000,217000000,1,,2,1,
102,102103,10210309,1021030904,5,217000000,217000000,1,,1,1,
102,102103,10210312,1021031208,1,448987600,448987600,1,,2,,
102,102103,10210312,1021031208,2,,,,,2,,
102,102103,10210312,1021031208,3,,,,,2,,
102,102103,10210312,1021031208,4,108798751,108798751,1,,2,,
102,102103,10210312,1021031208,5,217000000,217000000,1,,2,,
102,102104,10210401,1021040102,1,,,,,2,1,
102,102104,10210401,1021040102,2,,,,,2,1,
102,102104,10210401,1021040102,3,,,,,2,1,
102,102104,10210401,1021040102,4,0,0,,,2,1,
102,102104,10210401,1021040102,5,0,0,,,2,1,
102,102104,10210402,1021040203,1,,,,,1,,
102,102104,10210402,1021040203,2,,,,,1,,
102,102104,10210402,1021040203,3,,,,,1,,
102,102104,10210402,1021040203,4,,,,,1,,
102,102104,10210402,1021040203,5,,,,,1,,
102,102104,10210410,1021041002,1,,,,,2,2,
102,102104,10210410,1021041002,2,,,,,2,2,
102,102104,10210410,1021041002,3,,,,,2,2,
102,102104,10210410,1021041002,4,,,,,2,2,
102,102104,10210410,1021041002,5,,,,,2,2,
102,102104,10210411,1021041118,1,,,,,2,,
102,102104,10210411,1021041118,2,,,,,2,,
102,102104,10210411,1021041118,3,,,,,2,,
102,102104,10210411,1021041118,4,,,,,2,,
102,102104,10210411,1021041118,5,,,,,2,,
102,102104,10210417,1021041701,1,,,,,2,1,
102,102104,10210417,1021041701,2,,,,,2,1,
102,102104,10210417,1021041701,3,,,,,2,1,
102,102104,10210417,1021041701,4,,,,,2,1,
102,102104,10210417,1021041701,5,,,,,2,1,
102,102104,10210419,1021041903,1,,,,,2,1,
102,102104,10210419,1021041903,2,,,,,2,1,
102,102104,10210419,1021041903,3,,,,,2,1,
102,102104,10210419,1021041903,4,,,,,2,1,
102,102104,10210419,1021041903,5,,,,,2,1,
102,102105,10210501,1021050106,1,,,,,2,3,"its time for holiday so no one was found in the school"
102,102105,10210501,1021050106,2,,,,,2,3,"its time for holiday so no one was found in the school"
102,102105,10210501,1021050106,3,,,,,2,3,"its time for holiday so no one was found in the school"
102,102105,10210501,1021050106,4,0,0,,,2,3,"its time for holiday so no one was found in the school"
102,102105,10210501,1021050106,5,0,0,,,2,3,"its time for holiday so no one was found in the school"
102,102105,10210503,1021050307,1,,,,,2,3,"ENGINEER WAS AWAY. CALL BACK. VISIT 1.    ON VISIT 2 THE ENGINEER IS SAYING HE IS VERY BUSY THAT I WILL HAVE TO WAIT FOR HIM FOR SOME TIME SO THAT HE GIVES ME TIME."
102,102105,10210503,1021050307,2,,,,,2,3,"ENGINEER WAS AWAY. CALL BACK. VISIT 1.    ON VISIT 2 THE ENGINEER IS SAYING HE IS VERY BUSY THAT I WILL HAVE TO WAIT FOR HIM FOR SOME TIME SO THAT HE GIVES ME TIME."
102,102105,10210503,1021050307,3,,,,,2,3,"ENGINEER WAS AWAY. CALL BACK. VISIT 1.    ON VISIT 2 THE ENGINEER IS SAYING HE IS VERY BUSY THAT I WILL HAVE TO WAIT FOR HIM FOR SOME TIME SO THAT HE GIVES ME TIME."
102,102105,10210503,1021050307,4,,,,,2,3,"ENGINEER WAS AWAY. CALL BACK. VISIT 1.    ON VISIT 2 THE ENGINEER IS SAYING HE IS VERY BUSY THAT I WILL HAVE TO WAIT FOR HIM FOR SOME TIME SO THAT HE GIVES ME TIME."
102,102105,10210503,1021050307,5,,,,,2,3,"ENGINEER WAS AWAY. CALL BACK. VISIT 1.    ON VISIT 2 THE ENGINEER IS SAYING HE IS VERY BUSY THAT I WILL HAVE TO WAIT FOR HIM FOR SOME TIME SO THAT HE GIVES ME TIME."
102,102105,10210504,1021050405,1,,,,,2,1,
102,102105,10210504,1021050405,2,,,,,2,1,
102,102105,10210504,1021050405,3,,,,,2,1,
102,102105,10210504,1021050405,4,,,,,2,1,
102,102105,10210504,1021050405,5,,,,,2,1,
102,102105,10210510,1021051004,1,,,,,2,,
102,102105,10210510,1021051004,2,,,,,2,,
102,102105,10210510,1021051004,3,,,,,2,,
102,102105,10210510,1021051004,4,,,,,2,,
102,102105,10210510,1021051004,5,,,,,2,,
102,102105,10210513,1021051305,1,,,,,2,1,
102,102105,10210513,1021051305,2,,,,,2,1,
102,102105,10210513,1021051305,3,,,,,2,1,
102,102105,10210513,1021051305,4,0,0,,,2,1,
102,102105,10210513,1021051305,5,,,,,2,1,
102,102105,10210515,1021051506,1,,,,,2,1,
102,102105,10210515,1021051506,2,,,,,2,1,
102,102105,10210515,1021051506,3,,,,,2,1,
102,102105,10210515,1021051506,4,0,0,,,2,1,
102,102105,10210515,1021051506,5,0,0,,,2,1,
102,102105,10210518,1021051832,1,,,,,2,3,"City Authority not accessed"
102,102105,10210518,1021051832,2,,,,,2,3,"City Authority not accessed"
102,102105,10210518,1021051832,3,,,,,2,3,"City Authority not accessed"
102,102105,10210518,1021051832,4,,,,,2,3,"City Authority not accessed"
102,102105,10210518,1021051832,5,,,,,2,3,"City Authority not accessed"
103,103105,10310505,1031050505,1,,,,,2,1,
103,103105,10310505,1031050505,2,,,,,2,1,
103,103105,10310505,1031050505,3,99,99,,,2,1,
103,103105,10310505,1031050505,4,20000000,5000000,2,,2,1,
103,103105,10310505,1031050505,5,9000000,3600000,1,,2,1,
104,104102,10410204,1041020405,1,,,,,2,1,
104,104102,10410204,1041020405,2,,,,,2,1,
104,104102,10410204,1041020405,3,99,99,,,2,1,
104,104102,10410204,1041020405,4,20000000,6700000,1,,2,1,
104,104102,10410204,1041020405,5,10000000,6000000,1,,2,1,
104,104104,10410403,1041040304,1,,,,,2,1,
104,104104,10410403,1041040304,2,,,,,2,1,
104,104104,10410403,1041040304,3,15252357,8552357,2,,2,1,
104,104104,10410403,1041040304,4,0,0,,,2,1,
104,104104,10410403,1041040304,5,0,0,,,2,1,
104,104105,10410504,1041050403,1,,,,,2,,
104,104105,10410504,1041050403,2,1,1,1,,2,,
104,104105,10410504,1041050403,3,39890000,28223396,1,,2,,
104,104105,10410504,1041050403,4,0,0,,,2,,
104,104105,10410504,1041050403,5,1,1,1,,2,,
104,104208,10420804,1042080404,1,,,,,2,2,
104,104208,10420804,1042080404,2,,,,,2,2,
104,104208,10420804,1042080404,3,,,,,2,2,
104,104208,10420804,1042080404,4,,,,,2,2,
104,104208,10420804,1042080404,5,,,,,2,2,
105,105105,10510502,1051050201,1,,,,,2,1,
105,105105,10510502,1051050201,2,99,99,,,2,1,
105,105105,10510502,1051050201,3,,,,,2,1,
105,105105,10510502,1051050201,4,60000000,20100000,1,,2,1,
105,105105,10510502,1051050201,5,7000000,1200000,1,,2,1,
106,106101,10610101,1061010108,1,,,,,2,1,
106,106101,10610101,1061010108,2,,,,,2,1,
106,106101,10610101,1061010108,3,99,99,1,,2,1,
106,106101,10610101,1061010108,4,200000000,6650000,1,,2,1,
106,106101,10610101,1061010108,5,10000000,1379000,1,,2,1,
106,106101,10610109,1061010902,1,,,,,2,1,
106,106101,10610109,1061010902,2,,,,,2,1,
106,106101,10610109,1061010902,3,,,,,2,1,
106,106101,10610109,1061010902,4,200000000,6650000,1,,2,1,
106,106101,10610109,1061010902,5,10000000,1379000,1,,2,1,
106,106106,10610606,1061060602,1,,,,,2,1,
106,106106,10610606,1061060602,2,10000000,4000000,2,,2,1,
106,106106,10610606,1061060602,3,10000000,6000000,1,,2,1,
106,106106,10610606,1061060602,4,5000000,1200000,2,,2,1,
106,106106,10610606,1061060602,5,6000000,400000,2,,2,1,
107,107105,10710503,1071050302,1,,,,,2,1,
107,107105,10710503,1071050302,2,,,,,2,1,
107,107105,10710503,1071050302,3,300000000,102000000,2,,2,1,
107,107105,10710503,1071050302,4,20000000,3000000,2,,2,1,
